INJURY_ID,PLAYER_NAME,SPORT,INJURY_DESCRIPTION,INJURY_SEVERITY,DATE_OF_INJURY
12675,Tristan Wirfs,Football,"Jul 9: Wirfs underwent surgery on his right knee Tuesday and is expected to miss the start of the regular season, Rick Stroud of the Tampa Bay Times reports.",4,2025-10-05
13359,Tristan Wirfs,Football,"Jul 9: Wirfs underwent surgery on his right knee Tuesday and is expected to miss the start of the regular season, Rick Stroud of the Tampa Bay Times reports.",4,2025-10-05
10567,Malcolm Rodriguez,Football,"Jun 5: Rodriguez (knee) is unlikely to be ready for the start of the season, Eric Woodyard of ESPN.com reports.",4,2025-09-07
9857,Malcolm Rodriguez,Football,"Jun 5: Rodriguez (knee) is unlikely to be ready for the start of the season, Eric Woodyard of ESPN.com reports.",4,2025-09-07
11201,Malcolm Rodriguez,Football,"Jun 5: Rodriguez (knee) is unlikely to be ready for the start of the season, Eric Woodyard of ESPN.com reports.",4,2025-09-07
11962,Tre Brown,Football,"Jun 13: San Francisco general manager John Lynch said Thursday that Aiyuk (knee) has been ""doing a tremendous job coming back,"" Kevin Patra of NFL.com reports.",4,2025-08-16
13338,Tre Brown,Football,"Jun 13: San Francisco general manager John Lynch said Thursday that Aiyuk (knee) has been ""doing a tremendous job coming back,"" Kevin Patra of NFL.com reports.",4,2025-08-16
12654,Tre Brown,Football,"Jun 13: San Francisco general manager John Lynch said Thursday that Aiyuk (knee) has been ""doing a tremendous job coming back,"" Kevin Patra of NFL.com reports.",4,2025-08-16
13295,Tahj Washington,Football,"Jun 5: Washington (undisclosed) has been doing work in a non-contact jersey during OTAs, Chris Perkins of The South Florida Sentinel reports.",4,2025-08-10
11916,James Daniels,Football,"Jun 17: Coach Mike McDaniel said Monday that Daniels (Achilles), who was a limited participant in mandatory minicamp and has not yet been cleared for training camp, is ""very capable"" of contributing at either left or right guard, Kaitlyn Pohly of the Miami Herald reports.",4,2025-08-10
12527,Kyler Gordon,Football,"May 28: Gordonis is currently dealing with a soft tissue injury to his lower body, Scott Bair of Marquee Sports Network reports.",4,2025-08-10
13208,Colston Loveland,Football,"Jun 11: Bears coach Ben Johnson said Tuesday that he doesn't know if Loveland (shoulder) will be a full-go at the start of training camp, Kevin Fishbain of The Athletic reports.",4,2025-08-10
11842,Elijah Hicks,Football,"Jan 6: Hicks missed the last two games of the season with an ankle injury. He ended the 2024 campaign with 40 tackles (24 solo), two passes defensed and two fumble recoveries in 12 games.",4,2025-08-10
11920,Jaelan Phillips,Football,"May 28: Phillips (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",4,2025-08-10
12628,Pete Werner,Football,"May 22: Head coach Kellen Moore told reporters Thursday that Moreau (knee) won't participate in the team's offseason program, Matthew Paras of The New Orleans Times-Picayune reports.",4,2025-08-10
13210,T.J. Edwards,Football,"May 28: Edwards (lower body) is currently dealing with a soft tissue injury, Scott Bair of Marquee Sports Network reports.",4,2025-08-10
12629,Taysom Hill,Football,"May 22: Saints head coach Kellen Moore said Thursday that Hill (ACL) and Foster Moreau (knee) are both rehabbing and will miss OTAs and mandatory minicamp, Matthew Paras of The New Orleans Times-Picayune reports.",4,2025-08-10
13209,Luther Burden III,Football,"Jun 10: Bears coach Ben Johnson said Tuesday on the first day of mandatory minicamp that Burden (undisclosed) should be ready for training camp in late July, Patrick Finley of the Chicago Sun-Times reports.",4,2025-08-10
11919,Tahj Washington,Football,"Jun 5: Washington (undisclosed) has been doing work in a non-contact jersey during OTAs, Chris Perkins of The South Florida Sentinel reports.",4,2025-08-10
11921,Bradley Chubb,Football,"May 28: Chubb (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",4,2025-08-10
11837,Kyler Gordon,Football,"May 28: Gordonis is currently dealing with a soft tissue injury to his lower body, Scott Bair of Marquee Sports Network reports.",4,2025-08-10
13292,James Daniels,Football,"Jun 17: Coach Mike McDaniel said Monday that Daniels (Achilles), who was a limited participant in mandatory minicamp and has not yet been cleared for training camp, is ""very capable"" of contributing at either left or right guard, Kaitlyn Pohly of the Miami Herald reports.",4,2025-08-10
11835,Luther Burden III,Football,"Jun 10: Bears coach Ben Johnson said Tuesday on the first day of mandatory minicamp that Burden (undisclosed) should be ready for training camp in late July, Patrick Finley of the Chicago Sun-Times reports.",4,2025-08-10
11834,Colston Loveland,Football,"Jun 11: Bears coach Ben Johnson said Tuesday that he doesn't know if Loveland (shoulder) will be a full-go at the start of training camp, Kevin Fishbain of The Athletic reports.",4,2025-08-10
12612,Jaelan Phillips,Football,"May 28: Phillips (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",4,2025-08-10
13216,Elijah Hicks,Football,"Jan 6: Hicks missed the last two games of the season with an ankle injury. He ended the 2024 campaign with 40 tackles (24 solo), two passes defensed and two fumble recoveries in 12 games.",4,2025-08-10
11937,Taysom Hill,Football,"May 22: Saints head coach Kellen Moore said Thursday that Hill (ACL) and Foster Moreau (knee) are both rehabbing and will miss OTAs and mandatory minicamp, Matthew Paras of The New Orleans Times-Picayune reports.",4,2025-08-10
12532,Elijah Hicks,Football,"Jan 6: Hicks missed the last two games of the season with an ankle injury. He ended the 2024 campaign with 40 tackles (24 solo), two passes defensed and two fumble recoveries in 12 games.",4,2025-08-10
13297,Bradley Chubb,Football,"May 28: Chubb (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",4,2025-08-10
12630,Jake Haener,Football,"May 22: Haener sustained an oblique strain at practice Wednesday that is expected to sideline him multiple weeks but leave him ready for the start of training camp in late July, Adam Schefter of ESPN reports.",4,2025-08-10
13211,Kyler Gordon,Football,"May 28: Gordonis is currently dealing with a soft tissue injury to his lower body, Scott Bair of Marquee Sports Network reports.",4,2025-08-10
11936,Pete Werner,Football,"May 22: Head coach Kellen Moore told reporters Thursday that Moreau (knee) won't participate in the team's offseason program, Matthew Paras of The New Orleans Times-Picayune reports.",4,2025-08-10
11938,Jake Haener,Football,"May 22: Haener sustained an oblique strain at practice Wednesday that is expected to sideline him multiple weeks but leave him ready for the start of training camp in late July, Adam Schefter of ESPN reports.",4,2025-08-10
12526,T.J. Edwards,Football,"May 28: Edwards (lower body) is currently dealing with a soft tissue injury, Scott Bair of Marquee Sports Network reports.",4,2025-08-10
12609,Nick Westbrook-Ikhine,Football,"Jun 11: Westbrook-Ikhine (undisclosed) said at mandatory minicamp Wednesday that he's been working through an injury, Joe Schad of The Palm Beach Post reports.",4,2025-08-10
13293,Nick Westbrook-Ikhine,Football,"Jun 11: Westbrook-Ikhine (undisclosed) said at mandatory minicamp Wednesday that he's been working through an injury, Joe Schad of The Palm Beach Post reports.",4,2025-08-10
13314,Jake Haener,Football,"May 22: Haener sustained an oblique strain at practice Wednesday that is expected to sideline him multiple weeks but leave him ready for the start of training camp in late July, Adam Schefter of ESPN reports.",4,2025-08-10
13212,Shemar Turner,Football,"Apr 25: The Bears selected Turner (leg) in the second round of the 2025 NFL Draft, 62nd overall.",4,2025-08-10
13299,Jordyn Brooks,Football,"Jan 26: Brooks announced Friday that he had an offseason surgery, which was on his right wrist, according to David Furones of the South Florida Sun-Sentinel.",4,2025-08-10
13313,Taysom Hill,Football,"May 22: Saints head coach Kellen Moore said Thursday that Hill (ACL) and Foster Moreau (knee) are both rehabbing and will miss OTAs and mandatory minicamp, Matthew Paras of The New Orleans Times-Picayune reports.",4,2025-08-10
11918,Tyreek Hill,Football,"Jun 10: Hill (wrist) participated in receiving drills at Day 1 of mandatory minicamp Tuesday, Barry Jackson of the Miami Herald reports.",4,2025-08-10
13294,Tyreek Hill,Football,"Jun 10: Hill (wrist) participated in receiving drills at Day 1 of mandatory minicamp Tuesday, Barry Jackson of the Miami Herald reports.",4,2025-08-10
12613,Bradley Chubb,Football,"May 28: Chubb (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",4,2025-08-10
12528,Shemar Turner,Football,"Apr 25: The Bears selected Turner (leg) in the second round of the 2025 NFL Draft, 62nd overall.",4,2025-08-10
11923,Jordyn Brooks,Football,"Jan 26: Brooks announced Friday that he had an offseason surgery, which was on his right wrist, according to David Furones of the South Florida Sun-Sentinel.",4,2025-08-10
11917,Nick Westbrook-Ikhine,Football,"Jun 11: Westbrook-Ikhine (undisclosed) said at mandatory minicamp Wednesday that he's been working through an injury, Joe Schad of The Palm Beach Post reports.",4,2025-08-10
11836,T.J. Edwards,Football,"May 28: Edwards (lower body) is currently dealing with a soft tissue injury, Scott Bair of Marquee Sports Network reports.",4,2025-08-10
12524,Colston Loveland,Football,"Jun 11: Bears coach Ben Johnson said Tuesday that he doesn't know if Loveland (shoulder) will be a full-go at the start of training camp, Kevin Fishbain of The Athletic reports.",4,2025-08-10
11838,Shemar Turner,Football,"Apr 25: The Bears selected Turner (leg) in the second round of the 2025 NFL Draft, 62nd overall.",4,2025-08-10
13312,Pete Werner,Football,"May 22: Head coach Kellen Moore told reporters Thursday that Moreau (knee) won't participate in the team's offseason program, Matthew Paras of The New Orleans Times-Picayune reports.",4,2025-08-10
