injury_id,player_name,sport,injury_description,injury_type,body_part,body_side,surgery_status,season_ending,availability_status,mentioned_player,player_match_flag,input_tokens,output_tokens,processing_status,error_message
12675,Tristan Wirfs,Football,"Jul 9: Wirfs underwent surgery on his right knee Tuesday and is expected to miss the start of the regular season, Rick Stroud of the Tampa Bay Times reports.",unknown,knee,right,yes,unknown,expected to miss the start of the regular season,Wirfs,match,590,91,success,
13359,Tristan Wirfs,Football,"Jul 9: Wirfs underwent surgery on his right knee Tuesday and is expected to miss the start of the regular season, Rick Stroud of the Tampa Bay Times reports.",unknown,knee,right,yes,unknown,expected to miss the start of the regular season,Wirfs,match,590,91,success,
10567,Malcolm Rodriguez,Football,"Jun 5: Rodriguez (knee) is unlikely to be ready for the start of the season, Eric Woodyard of ESPN.com reports.",unknown,knee,unknown,unknown,unknown,unlikely to be ready for the start of the season,Rodriguez,match,583,90,success,
9857,Malcolm Rodriguez,Football,"Jun 5: Rodriguez (knee) is unlikely to be ready for the start of the season, Eric Woodyard of ESPN.com reports.",unknown,knee,unknown,unknown,unknown,unlikely to be ready for the start of the season,Rodriguez,match,583,90,success,
11201,Malcolm Rodriguez,Football,"Jun 5: Rodriguez (knee) is unlikely to be ready for the start of the season, Eric Woodyard of ESPN.com reports.",unknown,knee,unknown,unknown,unknown,unlikely to be ready for the start of the season,Rodriguez,match,583,90,success,
11962,Tre Brown,Football,"Jun 13: San Francisco general manager John Lynch said Thursday that Aiyuk (knee) has been ""doing a tremendous job coming back,"" Kevin Patra of NFL.com reports.",unknown,knee,unknown,unknown,unknown,coming back,Aiyuk,review,593,85,success,
13338,Tre Brown,Football,"Jun 13: San Francisco general manager John Lynch said Thursday that Aiyuk (knee) has been ""doing a tremendous job coming back,"" Kevin Patra of NFL.com reports.",unknown,knee,unknown,unknown,unknown,coming back,Aiyuk,review,593,85,success,
12654,Tre Brown,Football,"Jun 13: San Francisco general manager John Lynch said Thursday that Aiyuk (knee) has been ""doing a tremendous job coming back,"" Kevin Patra of NFL.com reports.",unknown,knee,unknown,unknown,unknown,coming back,Aiyuk,review,593,85,success,
13295,Tahj Washington,Football,"Jun 5: Washington (undisclosed) has been doing work in a non-contact jersey during OTAs, Chris Perkins of The South Florida Sentinel reports.",unknown,unknown,unknown,unknown,unknown,doing work in a non-contact jersey during OTAs,Washington,match,590,92,success,
11916,James Daniels,Football,"Jun 17: Coach Mike McDaniel said Monday that Daniels (Achilles), who was a limited participant in mandatory minicamp and has not yet been cleared for training camp, is ""very capable"" of contributing at either left or right guard, Kaitlyn Pohly of the Miami Herald reports.",unknown,Achilles,unknown,unknown,unknown,"limited participant in mandatory minicamp, not yet cleared for training camp",Daniels,match,619,97,success,
12527,Kyler Gordon,Football,"May 28: Gordonis is currently dealing with a soft tissue injury to his lower body, Scott Bair of Marquee Sports Network reports.",soft tissue injury,lower body,unknown,unknown,unknown,currently dealing with injury,Gordonis,match,585,89,success,
13208,Colston Loveland,Football,"Jun 11: Bears coach Ben Johnson said Tuesday that he doesn't know if Loveland (shoulder) will be a full-go at the start of training camp, Kevin Fishbain of The Athletic reports.",unknown,shoulder,unknown,unknown,unknown,uncertain to be full-go at start of training camp,Loveland,match,598,93,success,
11842,Elijah Hicks,Football,"Jan 6: Hicks missed the last two games of the season with an ankle injury. He ended the 2024 campaign with 40 tackles (24 solo), two passes defensed and two fumble recoveries in 12 games.",unknown,ankle,unknown,unknown,unknown,missed the last two games of the season,Hicks,match,607,90,success,
11920,Jaelan Phillips,Football,"May 28: Phillips (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",unknown,knee,unknown,unknown,unknown,participating in a limited capacity during OTAs,Phillips,match,581,89,success,
12628,Pete Werner,Football,"May 22: Head coach Kellen Moore told reporters Thursday that Moreau (knee) won't participate in the team's offseason program, Matthew Paras of The New Orleans Times-Picayune reports.",unknown,knee,unknown,unknown,unknown,won't participate in the team's offseason program,Moreau,review,600,92,success,
13210,T.J. Edwards,Football,"May 28: Edwards (lower body) is currently dealing with a soft tissue injury, Scott Bair of Marquee Sports Network reports.",soft tissue injury,lower body,unknown,unknown,unknown,unknown,Edwards,match,583,84,success,
12629,Taysom Hill,Football,"May 22: Saints head coach Kellen Moore said Thursday that Hill (ACL) and Foster Moreau (knee) are both rehabbing and will miss OTAs and mandatory minicamp, Matthew Paras of The New Orleans Times-Picayune reports.",ACL,knee,unknown,unknown,unknown,Will miss OTAs and mandatory minicamp,Hill,match,612,90,success,
13209,Luther Burden III,Football,"Jun 10: Bears coach Ben Johnson said Tuesday on the first day of mandatory minicamp that Burden (undisclosed) should be ready for training camp in late July, Patrick Finley of the Chicago Sun-Times reports.",unknown,unknown,unknown,unknown,unknown,Expected to be ready for training camp in late July,Burden,review,601,91,success,
11919,Tahj Washington,Football,"Jun 5: Washington (undisclosed) has been doing work in a non-contact jersey during OTAs, Chris Perkins of The South Florida Sentinel reports.",unknown,unknown,unknown,unknown,unknown,doing work in a non-contact jersey during OTAs,Washington,match,590,92,success,
11921,Bradley Chubb,Football,"May 28: Chubb (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",unknown,knee,unknown,unknown,unknown,participating in a limited capacity during OTAs,Chubb,match,584,92,success,
11837,Kyler Gordon,Football,"May 28: Gordonis is currently dealing with a soft tissue injury to his lower body, Scott Bair of Marquee Sports Network reports.",soft tissue injury,lower body,unknown,unknown,unknown,currently dealing with injury,Gordonis,match,585,89,success,
13292,James Daniels,Football,"Jun 17: Coach Mike McDaniel said Monday that Daniels (Achilles), who was a limited participant in mandatory minicamp and has not yet been cleared for training camp, is ""very capable"" of contributing at either left or right guard, Kaitlyn Pohly of the Miami Herald reports.",unknown,Achilles,unknown,unknown,unknown,"limited participant in mandatory minicamp, not yet cleared for training camp",Daniels,match,619,97,success,
11835,Luther Burden III,Football,"Jun 10: Bears coach Ben Johnson said Tuesday on the first day of mandatory minicamp that Burden (undisclosed) should be ready for training camp in late July, Patrick Finley of the Chicago Sun-Times reports.",unknown,unknown,unknown,unknown,unknown,Expected to be ready for training camp in late July,Burden,review,601,91,success,
11834,Colston Loveland,Football,"Jun 11: Bears coach Ben Johnson said Tuesday that he doesn't know if Loveland (shoulder) will be a full-go at the start of training camp, Kevin Fishbain of The Athletic reports.",unknown,shoulder,unknown,unknown,unknown,uncertain if will be full-go at start of training camp,Loveland,match,598,94,success,
12612,Jaelan Phillips,Football,"May 28: Phillips (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",unknown,knee,unknown,unknown,unknown,participating in a limited capacity during OTAs,Phillips,match,581,89,success,
13216,Elijah Hicks,Football,"Jan 6: Hicks missed the last two games of the season with an ankle injury. He ended the 2024 campaign with 40 tackles (24 solo), two passes defensed and two fumble recoveries in 12 games.",unknown,ankle,unknown,unknown,unknown,missed the last two games of the season,Hicks,match,607,90,success,
11937,Taysom Hill,Football,"May 22: Saints head coach Kellen Moore said Thursday that Hill (ACL) and Foster Moreau (knee) are both rehabbing and will miss OTAs and mandatory minicamp, Matthew Paras of The New Orleans Times-Picayune reports.",ACL,knee,unknown,unknown,unknown,will miss OTAs and mandatory minicamp,Hill,match,612,90,success,
12532,Elijah Hicks,Football,"Jan 6: Hicks missed the last two games of the season with an ankle injury. He ended the 2024 campaign with 40 tackles (24 solo), two passes defensed and two fumble recoveries in 12 games.",unknown,ankle,unknown,unknown,unknown,missed the last two games of the season,Hicks,match,607,90,success,
13297,Bradley Chubb,Football,"May 28: Chubb (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",unknown,knee,unknown,unknown,unknown,participating in a limited capacity during OTAs,Chubb,match,584,92,success,
12630,Jake Haener,Football,"May 22: Haener sustained an oblique strain at practice Wednesday that is expected to sideline him multiple weeks but leave him ready for the start of training camp in late July, Adam Schefter of ESPN reports.",oblique strain,oblique,unknown,unknown,unknown,expected to be sidelined multiple weeks but ready for the start of training camp in late July,Haener,match,599,104,success,
13211,Kyler Gordon,Football,"May 28: Gordonis is currently dealing with a soft tissue injury to his lower body, Scott Bair of Marquee Sports Network reports.",soft tissue injury,lower body,unknown,unknown,unknown,currently dealing with injury,Gordonis,match,585,89,success,
11936,Pete Werner,Football,"May 22: Head coach Kellen Moore told reporters Thursday that Moreau (knee) won't participate in the team's offseason program, Matthew Paras of The New Orleans Times-Picayune reports.",unknown,knee,unknown,unknown,unknown,will not participate in offseason program,Moreau,review,600,89,success,
11938,Jake Haener,Football,"May 22: Haener sustained an oblique strain at practice Wednesday that is expected to sideline him multiple weeks but leave him ready for the start of training camp in late July, Adam Schefter of ESPN reports.",oblique strain,oblique,unknown,unknown,unknown,expected to miss multiple weeks but be ready for start of training camp in late July,Haener,match,599,101,success,
12526,T.J. Edwards,Football,"May 28: Edwards (lower body) is currently dealing with a soft tissue injury, Scott Bair of Marquee Sports Network reports.",soft tissue injury,lower body,unknown,unknown,unknown,unknown,Edwards,match,583,84,success,
12609,Nick Westbrook-Ikhine,Football,"Jun 11: Westbrook-Ikhine (undisclosed) said at mandatory minicamp Wednesday that he's been working through an injury, Joe Schad of The Palm Beach Post reports.",unknown,unknown,unknown,unknown,unknown,working through an injury,Westbrook-Ikhine,match,596,91,success,
13293,Nick Westbrook-Ikhine,Football,"Jun 11: Westbrook-Ikhine (undisclosed) said at mandatory minicamp Wednesday that he's been working through an injury, Joe Schad of The Palm Beach Post reports.",unknown,unknown,unknown,unknown,unknown,working through an injury at mandatory minicamp,Westbrook-Ikhine,match,596,95,success,
13314,Jake Haener,Football,"May 22: Haener sustained an oblique strain at practice Wednesday that is expected to sideline him multiple weeks but leave him ready for the start of training camp in late July, Adam Schefter of ESPN reports.",oblique strain,oblique,unknown,unknown,no,expected to miss multiple weeks but be ready for start of training camp in late July,Haener,match,599,101,success,
13212,Shemar Turner,Football,"Apr 25: The Bears selected Turner (leg) in the second round of the 2025 NFL Draft, 62nd overall.",unknown,leg,unknown,unknown,unknown,unknown,Turner,match,582,81,success,
13299,Jordyn Brooks,Football,"Jan 26: Brooks announced Friday that he had an offseason surgery, which was on his right wrist, according to David Furones of the South Florida Sun-Sentinel.",unknown,wrist,right,yes,unknown,had offseason surgery,Brooks,match,591,85,success,
13313,Taysom Hill,Football,"May 22: Saints head coach Kellen Moore said Thursday that Hill (ACL) and Foster Moreau (knee) are both rehabbing and will miss OTAs and mandatory minicamp, Matthew Paras of The New Orleans Times-Picayune reports.",ACL,knee,unknown,unknown,unknown,will miss OTAs and mandatory minicamp,Hill,match,612,90,success,
11918,Tyreek Hill,Football,"Jun 10: Hill (wrist) participated in receiving drills at Day 1 of mandatory minicamp Tuesday, Barry Jackson of the Miami Herald reports.",unknown,wrist,unknown,unknown,unknown,participated in receiving drills at Day 1 of mandatory minicamp,Hill,match,586,95,success,
13294,Tyreek Hill,Football,"Jun 10: Hill (wrist) participated in receiving drills at Day 1 of mandatory minicamp Tuesday, Barry Jackson of the Miami Herald reports.",unknown,wrist,unknown,unknown,unknown,participated in receiving drills at Day 1 of mandatory minicamp,Hill,match,586,95,success,
12613,Bradley Chubb,Football,"May 28: Chubb (knee) is participating in a limited capacity during OTAs, Cameron Wolfe of NFL Network reports.",unknown,knee,unknown,unknown,unknown,participating in a limited capacity during OTAs,Chubb,match,584,92,success,
12528,Shemar Turner,Football,"Apr 25: The Bears selected Turner (leg) in the second round of the 2025 NFL Draft, 62nd overall.",unknown,leg,unknown,unknown,unknown,unknown,Turner,match,582,81,success,
11923,Jordyn Brooks,Football,"Jan 26: Brooks announced Friday that he had an offseason surgery, which was on his right wrist, according to David Furones of the South Florida Sun-Sentinel.",unknown,wrist,right,yes,unknown,had offseason surgery,Brooks,match,591,85,success,
11917,Nick Westbrook-Ikhine,Football,"Jun 11: Westbrook-Ikhine (undisclosed) said at mandatory minicamp Wednesday that he's been working through an injury, Joe Schad of The Palm Beach Post reports.",unknown,unknown,unknown,unknown,unknown,working through an injury at mandatory minicamp,Westbrook-Ikhine,match,596,95,success,
11836,T.J. Edwards,Football,"May 28: Edwards (lower body) is currently dealing with a soft tissue injury, Scott Bair of Marquee Sports Network reports.",soft tissue injury,lower body,unknown,unknown,unknown,unknown,Edwards,match,583,84,success,
12524,Colston Loveland,Football,"Jun 11: Bears coach Ben Johnson said Tuesday that he doesn't know if Loveland (shoulder) will be a full-go at the start of training camp, Kevin Fishbain of The Athletic reports.",unknown,shoulder,unknown,unknown,unknown,uncertain if will be full-go at start of training camp,Loveland,match,598,94,success,
11838,Shemar Turner,Football,"Apr 25: The Bears selected Turner (leg) in the second round of the 2025 NFL Draft, 62nd overall.",unknown,leg,unknown,unknown,unknown,unknown,Turner,match,582,81,success,
13312,Pete Werner,Football,"May 22: Head coach Kellen Moore told reporters Thursday that Moreau (knee) won't participate in the team's offseason program, Matthew Paras of The New Orleans Times-Picayune reports.",unknown,knee,unknown,unknown,unknown,will not participate in offseason program,Moreau,review,600,89,success,
